time,X_value,Y_value,Z_value
0,0.7313,1.0599,0.1752
0.0603,0.7183,1.1048,-0.2347
0.12,0.3663,1.2918,-0.846
0.18,0.4204,1.3384,-1.7079
0.2402,0.4472,1.2018,-2.3201
0.3,-0.022,1.3108,-2.9069
0.36,0.4127,1.8551,-4.2247
0.42,0.2693,-0.0972,-13.795
0.48,-0.4016,-0.8353,-18.2844
0.5398,3.1236,3.1614,-11.0999
0.5998,3.4494,47.0932,-33.5794
0.6597,-0.0314,0.7132,-0.0425
0.7203,-2.2297,2.1854,9.5264
0.7717,0.8099,2.1209,6.1432
0.8298,0.6358,2.2438,2.9739
0.89,0.8463,1.5829,2.6962
0.9497,0.6935,0.558,1.998
1.01,0.8673,0.3989,1.0865
1.0701,0.8821,0.0572,0.8651
1.1297,0.3033,-0.0752,0.52
1.1903,0.343,-0.308,0.304
